Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
27,Female,Snapchat,120,4,40,18,22,Neutral
21,Non-binary,Snapchat,60,1,18,7,12,Neutral
28,Non-binary,Snapchat,115,3,38,18,27,Anxiety
27,Male,Telegram,105,3,48,20,28,Anxiety
21,Non-binary,Facebook,55,3,17,7,12,Neutral
25,Female,Instagram,160,6,85,26,30,Happiness
25,Female,Instagram,160,6,85,26,30,Happiness
21,Non-binary,Facebook,55,3,17,7,12,Neutral
24,Non-binary,Snapchat,85,3,33,20,18,Happiness
33,Male,LinkedIn,45,1,10,5,12,Boredom
32,Female,Instagram,140,5,70,22,33,Happiness
23,Non-binary,Facebook,105,2,25,12,18,Neutral
32,Female,Instagram,140,6,75,28,30,Happiness
25,Female,Instagram,160,6,85,26,30,Happiness
35,Male,Twitter,70,1,13,8,10,Boredom
31,Male,LinkedIn,60,1,15,7,17,Anxiety
31,Male,Telegram,50,2,20,10,12,Sadness
34,Male,LinkedIn,65,1,14,6,15,Boredom
28,Male,Instagram,145,5,75,20,35,Happiness
29,Male,Twitter,95,4,50,22,22,Anger
31,Male,Facebook,80,2,20,10,20,Neutral
23,Male,Whatsapp,70,3,22,10,18,Anger
22,Female,Facebook,70,1,14,6,10,Neutral
25,Male,Telegram,80,4,30,13,25,Neutral
24,Non-binary,LinkedIn,55,1,11,6,11,Boredom
29,Male,Facebook,65,2,22,8,20,Anxiety
27,Male,Facebook,60,1,12,5,15,Boredom
27,Female,Snapchat,120,4,40,18,22,Neutral
29,Non-binary,Snapchat,50,2,15,5,18,Sadness
31,Male,Telegram,50,2,20,10,12,Sadness
21,Female,Twitter,90,3,37,14,20,Sadness
28,Female,LinkedIn,55,1,12,6,10,Boredom
31,Male,Telegram,85,3,45,20,28,Sadness
32,Female,Instagram,140,6,75,28,30,Happiness
28,Non-binary,Snapchat,115,3,38,18,27,Anxiety
28,Male,Instagram,145,7,80,30,35,Happiness
28,Non-binary,Telegram,60,2,18,8,18,Anger
27,Non-binary,LinkedIn,55,1,12,5,11,Anxiety
26,Non-binary,Facebook,95,3,30,14,18,Sadness
